1,"Genentech","Midsized",8121
2,"Wegmans Food Markets","Large",31890
3,"Valero Energy","Large",16582
4,"Griffin Hospital","Small",1049
5,"W.L. Gore & Associates","Midsized",4537
6,"Container Store","Midsized",2857
7,"Vision Service Plan","Small",1915
8,"J.M. Smucker","Midsized",2930
9,"Recreational Equipment (REI)","Midsized",7443
10,"S.C. Johnson","Midsized",3404
11,"Boston Consulting Group","Small",1261
12,"Plante & Moran","Small",1356
13,"Quicken Loans","Midsized",2951
14,"HomeBanc Mortgage","Small",1342
15,"Whole Foods Market","Large",33248
16,"Edward Jones","Large",29197
17,"Republic Bancorp","Small",1190
18,"Baptist Health Care","Midsized",4003
19,"Alston & Bird","Small",1509
20,"Kimley-Horn & Associates","Small",1777
21,"QuikTrip","Midsized",7819
22,"American Century Investments","Small",1778
23,"Qualcomm","Midsized",7562
24,"David Weekley Homes","Small",1361
25,"Cisco Systems","Large",26644
26,"Goldman Sachs","Large",11836
27,"Network Appliance","Midsized",2712
28,"Four Seasons","Large",10625
29,"Starbucks","Large",91056
30,"SAS Institute","Midsized",5118
31,"Robert W. Baird","Small",2125
32,"Alcon Laboratories","Midsized",6227
33,"Nugget Markets","Small",1091
34,"CDW","Midsized",3948
35,"American Fidelity Assurance","Small",1385
36,"TDIndustries","Small",1297
37,"American Express","Large",42453
38,"Milliken","Midsized",9300
39,"Amgen","Large",11374
40,"JM Family Enterprises","Midsized",4114
41,"Timberland","Small",1978
42,"Microsoft","Large",37746
43,"Intuit","Midsized",6516
44,"Pella","Midsized",8758
45,"SRA International","Midsized",3986
46,"Nordstrom","Large",45112
47,"AFLAC","Midsized",4034
48,"Perkins Coie","Small",1553
49,"Nixon Peabody","Small",1563
50,"Northwest Community Hospital","Midsized",3089
51,"Genzyme","Midsized",5399
52,"Eli Lilly","Large",21898
53,"Hot Topic","Midsized",8314
54,"Arnold & Porter","Small",1383
55,"Station Casinos","Large",10967
56,"Publix Super Markets","Large",129412
57,"Synovus","Large",11860
58,"Stew Leonard's","Small",1819
59,"Baptist Health South Florida","Large",10706
60,"Vanguard Group","Large",11070
61,"Sherwin-Williams","Large",27938
62,"Memorial Health","Midsized",4301
63,"Russell Investment Group","Small",1092
64,"FedEx","Large",212241
65,"PCL Construction","Midsized",2543
66,"MITRE","Midsized",5575
67,"Ernst & Young","Large",23657
68,"Bronson Healthcare Group","Midsized",3396
69,"Valassis","Small",1803
70,"A.G. Edwards","Large",15708
71,"PricewaterhouseCoopers","Large",26392
72,"Booz Allen Hamilton","Large",15582
73,"Yahoo","Midsized",5444
74,"Standard Pacific","Small",2317
75,"Quad/Graphics","Large",10399
76,"Children's Heathcare of Atlanta","Midsized",4910
77,"National Instruments","Small",2148
78,"Methodist Hospital System","Midsized",8714
79,"East Penn Manufacturing","Midsized",4082
80,"CH2M Hill","Large",17770
81,"Autodesk","Small",2098
82,"Bingham McCutchen","Small",1542
83,"Texas Instruments","Large",16102
84,"Worthington Industries","Midsized",6233
85,"First Horizon National","Large",13228
86,"Principal Financial Group","Large",12723
87,"Washington Mutual","Large",54396
88,"Morrison & Foerster","Small",2145
89,"Mayo Clinic","Large",38085
90,"John Wiley & Sons","Small",2090
91,"Granite Construction","Midsized",4300
92,"Men's Wearhouse","Large",10757
93,"CarMax","Large",11400
94,"Bright Horizons","Large",13551
95,"Wm. Wrigley Jr.","Midsized",3372
96,"IKEA (U.S.)","Midsized",9499
97,"Intel","Large",48655
98,"General Mills","Large",17993
99,"Marriott International","Large",126704
100,"Nike","Large",12502
